UCN	9.84189233978432	+
CELF1	9.80526603500062	+
AKAP8L	8.80736396857357	+
LRDD	8.56079251409559	+
GTPBP3	8.46282311164839	+
ATXN2L	8.45856613880263	+
C11ORF84	8.44958174226689	+
IER5L	8.44210443822149	+
LEMD2	8.42382529105903	+
LOC390414	8.34581256408119	+
PPP2R5B	8.24562126503944	+
C1ORF86	8.21181491611163	+
PCNT	8.13564715521703	+
AXIN1	8.09298549830893	+
DUSP5P	8.06501097533357	+
GDI1	8.06231919232645	+
WDR90	8.05739545885746	+
PILRB	8.05497985910376	+
MIB2	8.04839007358958	+
ATF6B	8.03885494032185	+
TTC21A	7.99253183375393	+
FBXL16	7.89637827178665	+
CHTF18	7.88880268764372	+
CBX1	7.85448841830797	+
NPIP	7.81221234096569	+
CCDC130	7.80053437226182	+
SNRNP48	7.69662802093361	+
REXO4	7.68976291804842	+
ZNF324	7.63423554633624	+
NPLOC4	7.6269882689692	+
SFI1	7.56666363892084	+
HDAC10	7.5563974636034	+
TELO2	7.55282253230794	+
ALCAM	7.51468634447222	+
LOC388152	7.51144643604155	+
ATAD3A	7.50312043203327	+
VARS2	7.47710666465738	+
RGS11	7.37375054437862	+
ACAP3	7.35982884096776	+
C7ORF68	7.34956472877218	+
SYNGR4	7.28582770276331	+
GGA3	7.26381698730479	+
GIGYF1	7.26265010970018	+
ICAM5	7.24498559554593	+
C11ORF9	7.21043124100116	+
ZNHIT1	7.20235030736428	+
MT3	7.16141220428578	+
DDX11	7.15576482226824	+
VEGFA	7.12125168571809	+
SNHG7	7.07505854649411	+
PPP1R16A	7.06131637903468	+
TNPO2	7.0468010437879	+
C8ORF73	7.03440673992743	+
TPI1	7.00044255374668	+
MKNK2	6.95040490327006	+
PTGES3	6.95020663082175	+
AATK	6.94730729906534	+
MLL5	6.93385087683131	+
ZFHX2	6.93123497305636	+
HGS	6.89527165153315	+
TRAIP	6.88672502632166	+
LOC100131826	6.83371771254576	+
EPS8L2	6.82342411439149	+
SLC12A7	6.79818929870889	+
SCRIB	6.78086874528288	+
PPFIA4	6.76790175766579	+
C5ORF45	6.75901630723271	+
DDX39	6.75402886016368	+
HIST1H4D	6.73757629234386	+
EBLN2	6.71455141663332	+
EGFL7	6.71180322209992	+
PRAF2	6.66498412541134	+
ADM	6.65441535635784	+
TMUB1	6.63070873296511	+
SULT1A4	6.57204997465372	+
C12ORF65	6.5687646300191	+
KDM5C	6.49384267497511	+
IGF2	6.47371469699789	+
SULT1A2	6.45207407764646	+
TTLL5	6.44964735717154	+
ZNF234	6.44293008873933	+
PKP3	6.44033158165538	+
ZDHHC22	6.38801822053561	+
GAL3ST2	6.38299596560104	+
LOC390705	6.36778066312207	+
HBQ1	6.36316220521862	+
KIFC2	6.34144155219925	+
CCDC137	6.33260775486027	+
ZNF395	6.31177879790338	+
TAF1	6.30854075270014	+
TCF20	6.29825139634405	+
ALDOA	6.2907907343877	+
RHOT2	6.28211289634978	+
POLD1	6.27043043082188	+
C7ORF47	6.23725222712359	+
AHRR	6.22740871387739	+
GDF1	6.22674015322256	+
TRAF2	6.21926566600352	+
C9ORF142	6.2038291860722	+
FLJ11710	6.20269647140971	+
LIMA1	7.57189355046082	-
EEF1B2	7.57818343250697	-
DDAH1	7.58186139332843	-
ADH5	7.58796166986701	-
A2M	7.5906488116943	-
TSPAN1	7.59370570222307	-
AOC3	7.60039045983205	-
PCP4	7.60453407955255	-
HLA-F	7.60690373486137	-
PINK1	7.64746651591334	-
TRBV5-4	7.6550101401272	-
EGR1	7.66075522839451	-
SH3BGRL	7.66772168925559	-
FAM82A1	7.67219642420951	-
RPL3	7.67401517446865	-
CC2D2A	7.68952662357618	-
NSMCE4A	7.69430562976367	-
C4ORF3	7.72134432142284	-
HLA-DRA	7.72619783592876	-
PPAP2B	7.7690749001431	-
MRPL54	7.79177535492767	-
TEX2	7.80984100034214	-
MSMB	7.82435538894263	-
HEXB	7.8374601158695	-
MOXD1	7.85265396268908	-
FAM175A	7.85588086036881	-
HSD17B6	7.87476511549583	-
ECM2	7.88370782660587	-
ATP5S	7.89784485293811	-
SNAP23	7.90310256400131	-
OGN	7.91533227661857	-
RPL5	7.91680776903503	-
FHL2	7.93687683330851	-
AGL	7.94705651405849	-
SLC25A4	7.9591998846489	-
TBC1D9	7.96436233188593	-
PTPN13	7.96956172472017	-
LMOD1	7.98830205621271	-
CD9	8.03594304349066	-
LGALS2	8.05078362728817	-
WFDC1	8.10409441308258	-
FBXL3	8.13773288897223	-
DRG1	8.18000922729416	-
FOSB	8.18365137021198	-
MAGED2	8.2590209376369	-
VPS26A	8.29357654351984	-
ZNF33B	8.31618856979766	-
DHRS7	8.34716446277094	-
C22ORF28	8.3555299593198	-
SCCPDH	8.36209818143543	-
DSTN	8.37002155448148	-
TNFSF10	8.3881416545793	-
SSPN	8.3928788637528	-
RILPL2	8.43087619997232	-
MTFMT	8.44530864754972	-
DES	8.52127813566192	-
ILK	8.57305361545562	-
CD69	8.57470196386536	-
SC5DL	8.57792701576777	-
CYR61	8.6304279792067	-
ANXA3	8.63577396802187	-
PAM	8.65227356578681	-
UFSP2	8.74521340963211	-
PAGE4	8.76946957875587	-
BTF3	8.78088303947023	-
RGS22	8.79041216242713	-
TPM2	8.85343154253722	-
CCNH	8.88159114704426	-
HLA-DPB1	8.88323713969204	-
IGSF6	8.8930264917714	-
NANS	8.93230508140224	-
PTPLAD2	9.02653153538145	-
EEF1A1	9.04923622733762	-
HLA-DQB1	9.069571839599	-
FUCA1	9.12062336788386	-
